0;0
0.06;0.058946
0.12;0.11969
0.18;0.174344
0.24;0.235071
0.3;0.28169
0.36;0.335346
0.42;0.366426
0.48;0.403396
0.54;0.409059
0.6;0.374834
0.66;0.385607
0.72;0.310292
0.78;0.269789
0.84;0.143099
0.9;0.0351682
0.96;-0.152268
1.02;-0.342358
1.08;-0.597862
1.14;-0.881981
1.2;-1.20966
1.26;-1.59538
1.32;-1.99502
1.38;-2.48422
1.44;-2.95022
1.5;-3.53791
1.56;-4.05844
1.62;-4.73167
1.68;-5.28794
1.74;-6.02506
1.8;-6.59093
1.86;-7.36113
1.92;-7.90291
1.98;-8.66607
2.04;-9.14276
2.1;-9.84978
2.16;-10.2135
2.22;-10.807
2.28;-11.004
2.34;-11.4193
2.4;-11.391
2.46;-11.5579
2.52;-11.2426
2.58;-11.0871
2.64;-10.422
2.7;-9.86883
2.76;-8.79196
2.82;-7.76689
2.88;-6.21978
2.94;-4.65285
3;-2.58305
3.06;-0.411503
3.12;2.22465
3.18;5.05313
3.24;8.28772
3.3;11.8118
3.36;15.6626
3.42;19.9041
3.48;24.372
3.54;29.333
3.6;34.3997
3.66;40.0598
3.72;45.6855
3.78;51.9996
3.84;58.1218
3.9;65.0182
3.96;71.5502
4.02;78.9296
4.08;85.7601
4.14;93.4949
4.2;100.488
4.26;108.423
4.32;115.419
4.38;123.371
4.44;130.188
4.5;137.95
4.56;145.14
4.62;151.728
4.68;158.354
4.74;164.237
4.8;170.052
4.86;174.983
4.92;179.727
4.98;183.453
5.04;186.862
5.1;189.128
5.16;190.94
5.22;191.495
5.28;191.453
5.34;190.06
5.4;187.924
5.46;184.362
5.52;179.913
5.58;173.988
5.64;167.038
5.7;158.59
5.76;148.985
5.82;137.892
5.88;125.526
5.94;111.716
6;96.5306
6.06;79.9828
6.12;61.9795
6.18;42.7321
6.24;21.9742
6.3;0.129143
6.36;-23.2528
6.42;-47.5265
6.48;-73.3317
6.54;-99.7952
6.6;-127.75
6.66;-156.094
6.72;-185.853
6.78;-215.699
6.84;-246.843
6.9;-277.742
6.96;-309.785
7.02;-341.225
7.08;-373.616
7.14;-405.025
7.2;-437.152
7.26;-467.908
7.32;-499.111
7.38;-528.545
7.44;-558.123
7.5;-585.535
7.56;-612.756
7.62;-637.424
7.68;-661.539
7.74;-682.733
7.8;-702.991
7.86;-719.985
7.92;-735.646
7.98;-747.736
8.04;-758.089
8.1;-764.607
8.16;-768.983
8.22;-769.314
8.28;-767.107
8.34;-760.706
8.4;-751.386
8.46;-737.791
8.52;-720.924
8.58;-699.773
8.64;-675.032
8.7;-646.081
8.76;-613.264
8.82;-576.395
8.88;-535.436
8.94;-490.669
9;-441.652
9.06;-389.158
9.12;-332.32
9.18;-272.428
9.24;-208.172
9.3;-141.369
9.36;-70.2637
9.42;2.79783
9.48;80.0155
9.54;158.522
9.6;240.95
9.66;323.929
9.72;410.505
9.78;496.835
9.84;586.348
9.9;674.766
9.96;765.864
10.02;854.983
10.08;946.195
10.14;1034.52
10.2;1124.27
10.26;1210.21
10.32;1296.85
10.38;1378.76
10.44;1460.57
10.5;1536.77
10.56;1612.01
10.62;1680.79
10.68;1747.73
10.74;1807.42
10.8;1859.54
10.86;1913.33
10.92;1954.17
10.98;1995.32
11.04;2023.5
11.1;2050.44
11.16;2064.49
11.22;2075.97
11.28;2075.36
11.34;2069.73
11.4;2051.17
11.46;2029.18
11.52;2000.64
11.58;1955.09
11.64;1883.59
11.7;1838.19
11.76;1844.78
11.82;1709.14
11.88;1605.73
11.94;1534.55
